entidad_a,enticve1,numeral,nombre1,rnspni1,nombre2,elepro1,elepro2,elepro3,elepro4,elepro5,elepro6,elepro7,elepro8,elepro9,elepro10,elepro11,elepro12,elepro13
1,01,1,DESPACHO EJECUTIVO ESTATAL,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,2,COORDINACION GENERAL EJECUTIVA DE GABINETE,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,3,SECRETARIA DE COMUNICACION Y VOCERIA DEL GOBIERNO,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,4,SECRETARIA GENERAL DE GOBIERNO,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,5,SECRETARIA DE SEGURIDAD PUBLICA,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,6,SECRETARIA DE FINANZAS,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,7,SECRETARIA DE DESARROLLO ECONOMICO CIENCIA Y TECNOLOGIA,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,8,SECRETARIA DE SALUD,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,9,SECRETARIA DE SUSTENTABILIDAD MEDIO AMBIENTE Y AGUA,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,10,SECRETARIA DE DESARROLLO SOCIAL,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,11,SECRETARIA DE OBRAS PUBLICAS,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,12,SECRETARIA DE DESARROLLO RURAL Y AGROEMPRESARIAL,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,13,SECRETARIA DE TURISMO,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,14,SECRETARIA DE PLANEACION PARTICIPACION Y DESARROLLO,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,15,SECRETARIA DE ADMINISTRACION,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,16,COORDINACION GENERAL DE MOVILIDAD,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,17,CONTRALORIA DEL ESTADO,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,18,SECRETARIA DE LA FAMILIA,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,19,SECRETARIA DE INNOVACION Y GOBIERNO DIGITAL,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,20,SECRETARIA DE GESTION URBANISTICA ORDENAMIENTO TERRITORIAL REGISTRAL Y CATASTRAL,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,21,CONSEJERIA JURIDICA DEL ESTADO,1,MANUAL DE LINEAMIENTOS DE LA DIRECCION GENERAL DE CAPITAL HUMANO,1,1,1,1,1,1,1,1,1,1,1,1,
1,01,22,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,1,MANUAL DE LINEAMIENTOS PARA LA GESTION DE CAPITAL HUMANO,1,1,,1,1,,,1,1,1,,1,
1,01,23,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PUBLICOS DEL ESTADO DE AGUASCALIENTES,1,MANUAL DE LINEAMIENTOS DE CAPITAL HUMANO,,1,,,1,,,1,1,,,,
