entidad_a,enticve1,numeral,nombre1,sexostt,sexos1,sexos2
1,01,1,DESPACHO EJECUTIVO ESTATAL,96,53,43
1,01,2,COORDINACION GENERAL EJECUTIVA DE GABINETE,20,11,9
1,01,3,SECRETARIA DE COMUNICACION Y VOCERIA DEL GOBIERNO,47,24,23
1,01,4,SECRETARIA GENERAL DE GOBIERNO,628,257,371
1,01,5,SECRETARIA DE SEGURIDAD PUBLICA,1715,1114,601
1,01,6,SECRETARIA DE FINANZAS,305,113,192
1,01,7,SECRETARIA DE DESARROLLO ECONOMICO CIENCIA Y TECNOLOGIA,82,36,46
1,01,8,SECRETARIA DE SALUD,5,3,2
1,01,9,SECRETARIA DE SUSTENTABILIDAD MEDIO AMBIENTE Y AGUA,220,160,60
1,01,10,SECRETARIA DE DESARROLLO SOCIAL,133,45,88
1,01,11,SECRETARIA DE OBRAS PUBLICAS,306,221,85
1,01,12,SECRETARIA DE DESARROLLO RURAL Y AGROEMPRESARIAL,109,77,32
1,01,13,SECRETARIA DE TURISMO,108,61,47
1,01,14,SECRETARIA DE PLANEACION PARTICIPACION Y DESARROLLO,108,66,42
1,01,15,SECRETARIA DE ADMINISTRACION,204,122,82
1,01,16,COORDINACION GENERAL DE MOVILIDAD,118,81,37
1,01,17,CONTRALORIA DEL ESTADO,111,76,35
1,01,18,SECRETARIA DE LA FAMILIA,13,3,10
1,01,19,SECRETARIA DE INNOVACION Y GOBIERNO DIGITAL,89,52,37
1,01,20,SECRETARIA DE GESTION URBANISTICA ORDENAMIENTO TERRITORIAL REGISTRAL Y CATASTRAL,0,0,0
1,01,21,CONSEJERIA JURIDICA DEL ESTADO,10,7,3
1,01,22,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,59,35,24
1,01,23,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PUBLICOS DEL ESTADO DE AGUASCALIENTES,204,92,112
1,01,24,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,658,176,482
1,01,25,INSTITUTO DE ASESORIA Y DEFENSORIA PUBLICA DEL ESTADO DE AGUASCALIENTES,68,29,39
1,01,26,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,23,16,7
1,01,27,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO DE AGUASCALIENTES,153,87,66
1,01,28,PROCURADURIA ESTATAL DE PROTECCION AL AMBIENTE,69,47,22
1,01,29,INSTITUTO DEL AGUA DEL ESTADO,303,252,51
1,01,30,INSTITUTO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE AGUASCALIENTES,65,38,27
1,01,31,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,35,23,12
1,01,32,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,116,24,92
1,01,33,ESCUELA NORMAL DE AGUASCALIENTES,135,43,92
1,01,34,INSTITUTO PARA LA EDUCACION DE LAS PERSONAS JOVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,146,58,88
1,01,35,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,298,164,134
1,01,36,INSTITUTO CULTURAL DE AGUASCALIENTES,1023,551,472
1,01,37,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,231,162,69
1,01,38,RADIO Y TELEVISION DE AGUASCALIENTES,149,98,51
1,01,39,UNIVERSIDAD TECNOLOGICA METROPOLITANA DE AGUASCALIENTES,37,15,22
1,01,40,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,187,80,107
1,01,41,COMISION ESTATAL DE ARBITRAJE MEDICO,14,6,8
1,01,42,UNIVERSIDAD TECNOLOGICA EL RETOÑO,130,64,66
1,01,43,UNIVERSIDAD TECNOLOGICA DE CALVILLO,74,36,38
1,01,44,INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES,85,50,35
1,01,45,CENTRO DE CONCILIACION LABORAL DEL ESTADO DE AGUASCALIENTES,34,17,17
1,01,46,FIDEICOMISO DE INVERSION Y ADMINISTRACION PARA EL DESARROLLO ECONOMICO DEL ESTADO DE AGUASCALIENTES,6,1,5
1,01,47,FIDEICOMISO DEL COMPLEJO TRES CENTURIAS,38,29,9
1,01,48,FIDEICOMISO DE DESARROLLOS INDUSTRIALES,59,45,14
1,01,49,SISTEMA DE FINANCIAMIENTO DE AGUASCALIENTES,51,22,29
1,01,50,INSTITUTO DE EDUCACION DE AGUASCALIENTES,16397,5397,11000
1,01,51,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,1149,528,621
1,01,52,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,3285,1734,1551
1,01,53,UNIVERSIDAD TECNOLOGICA DE AGUASCALIENTES,422,225,197
1,01,54,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,287,156,131
1,01,55,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,7428,2732,4696
1,01,56,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,19,14,5
1,01,57,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE AGUASCALIENTES,466,234,232
2,02,1,COORDINACION DE GABINETE,135,81,54
2,02,2,SECRETARIA GENERAL DE GOBIERNO,321,151,170
2,02,3,OFICIALIA MAYOR DE GOBIERNO,912,444,468
2,02,4,DIRECCION DE COMUNICACION SOCIAL,18,5,13
2,02,5,SECRETARIA DE HACIENDA DEL ESTADO,990,491,499
2,02,6,SECRETARIA DE LA HONESTIDAD Y LA FUNCION PUBLICA,147,66,81
2,02,7,SECRETARIA DE PESCA Y ACUACULTURA,28,19,9
2,02,8,SECRETARIA DE INFRAESTRUCTURA DESARROLLO URBANO Y REORDENACION TERRITORIAL,294,193,101
2,02,9,SECRETARIA DE ECONOMIA E INNOVACION,88,40,48
2,02,10,SECRETARIA DE CAMPO Y SEGURIDAD ALIMENTARIA,137,82,55
2,02,11,SECRETARIA DE TURISMO,54,30,24
2,02,12,SECRETARIA DE EDUCACION,0,0,0
2,02,13,SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,69,38,31
2,02,14,SECRETARIA DE BIENESTAR,179,93,86
2,02,15,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,344,140,204
2,02,16,DIRECCION DEL REGISTRO PUBLICO DE LA PROPIEDAD Y DEL COMERCIO,162,82,80
2,02,17,SECRETARIA DE CULTURA,0,0,0
2,02,18,SECRETARIA DE INCLUSION SOCIAL E IGUALDAD DE GENERO,47,24,23
2,02,19,SECRETARIA DE SEGURIDAD CIUDADANA,1178,890,288
2,02,20,SECRETARIA DE SALUD,0,0,0
2,02,21,SECRETARIA PARA EL MANEJO SANEAMIENTO Y PROTECCION DEL AGUA,0,0,0
2,02,22,CONSEJERIA JURIDICA,345,139,206
2,02,23,ADMINISTRADORA DE LA VIA CORTA TIJUANA TECATE,25,14,11
2,02,24,CENTRO DE CONCILIACION LABORAL DEL ESTADO DE BAJA CALIFORNIA,88,36,52
2,02,25,CENTRO DE JUSTICIA PARA LAS MUJERES,42,4,38
2,02,26,CENTRO METROPOLITANO DE CONVENCIONES TIJUANA PLAYAS DE ROSARITO TECATE,14,8,6
2,02,27,COLEGIO DE BACHILLERES DEL ESTADO DE BAJA CALIFORNIA,2265,1147,1118
2,02,28,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE BAJA CALIFORNIA,553,285,268
2,02,29,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE BAJA CALIFORNIA,2255,1190,1065
2,02,30,COMISION DE ARBITRAJE MEDICO DEL ESTADO DE BAJA CALIFORNIA,7,5,2
2,02,31,COMISION ESTATAL DE ENERGIA DE BAJA CALIFORNIA,20,13,7
2,02,32,COMISION ESTATAL DE SERVICIOS PUBLICOS DE ENSENADA,674,541,133
2,02,33,COMISION ESTATAL DE SERVICIOS PUBLICOS DE MEXICALI,1261,1001,260
2,02,34,COMISION ESTATAL DE SERVICIOS PUBLICOS DE TECATE,193,150,43
2,02,35,COMISION ESTATAL DE SERVICIOS PUBLICOS DE TIJUANA,1721,1333,388
2,02,36,COMISION ESTATAL DEL AGUA DEL ESTADO DE BAJA CALIFORNIA,166,152,14
2,02,37,COMISION ESTATAL DEL SISTEMA PENITENCIARIO,1933,1201,732
2,02,38,COMITE DE PLANEACION PARA EL DESARROLLO DEL ESTADO,23,4,19
2,02,39,FIDEICOMISO FONDO DE GARANTIAS COMPLEMENTARIAS Y CREDITOS PUENTE,11,8,3
2,02,40,FIDEICOMISO PUBLICO DE ADMINISTRACION DE FONDOS E INVERSION DEL TRAMO CARRETERO CENTINELA RUMOROSA,125,77,48
2,02,41,FIDEICOMISO PUBLICO PARA LA PROMOCION TURISTICA DEL ESTADO,10,3,7
2,02,42,FIDEICOMISO SAN ANTONIO DEL MAR,0,0,0
2,02,43,INSTITUTO DE CAPACITACION DE ALTA TECNOLOGIA,12,6,6
2,02,44,INSTITUTO DE CULTURA DE BAJA CALIFORNIA,316,175,141
2,02,45,INSTITUTO DE LA INFRAESTRUCTURA FISICA EDUCATIVA DE BAJA CALIFORNIA,37,16,21
2,02,46,INSTITUTO DE LA JUVENTUD DE BAJA CALIFORNIA,115,74,41
2,02,47,INSTITUTO DE LA MUJER PARA EL ESTADO DE BAJA CALIFORNIA,26,3,23
2,02,48,INSTITUTO DE MOVILIDAD SUSTENTABLE DEL ESTADO DE BAJA CALIFORNIA,255,174,81
2,02,49,INSTITUTO DE PSIQUIATRIA DEL ESTADO DE BAJA CALIFORNIA,365,133,232
2,02,50,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL GOBIERNO Y MUNICIPIOS DE BAJA CALIFORNIA,1811,768,1043
2,02,51,INSTITUTO DE SERVICIOS DE SALUD PUBLICA DEL ESTADO DE BAJA CALIFORNIA,7713,2968,4745
2,02,52,INSTITUTO DE SERVICIOS EDUCATIVOS Y PEDAGOGICOS DE BAJA CALIFORNIA,22342,7215,15127
2,02,53,INSTITUTO DEL DEPORTE Y LA CULTURA FISICA DE BAJA CALIFORNIA,389,271,118
2,02,54,INSTITUTO PARA EL DESARROLLO INMOBILIARIO Y DE LA VIVIENDA PARA EL ESTADO DE BAJA CALIFORNIA,225,120,105
2,02,55,JUNTA DE URBANIZACION DEL ESTADO DE BAJA CALIFORNIA,69,37,32
