entidad_a,enticve1,numeral,nombre1,presue1,presue2
1,01,1,APOYO A LA POBLACION VULNERABLE,22968000,22942653.11
1,01,2,APOYO ECONOMICO TEMPORAL PARA LA MEJORA DE ESPACIOS COMUNITARIOS,6010000,4811172.68
1,01,3,ATENCION CIUDADANA,4280300,5486182.76
1,01,4,CONTIGO VAMOS,6665600,6665598
1,01,5,CONTIGO PODEMOS,56548200,78557959.29
1,01,6,FORTALECIMIENTO DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL,10270800,10049412.73
2,02,1,EMPODERAMIENTO SOCIAL,73516112,41339302.35
2,02,2,IMPULSO A LA ECONOMIA SOCIAL,30205200,25664797.03
2,02,3,GENERANDO BIENESTAR,534354820,164541041.38
2,02,4,ALIMENTACION QUE TRANSFORMA,374427343,307838205
3,03,1,SUBPROGRAMA CAPACITACION PARA LA EMPLEABILIDAD,3439775.44,3216160
3,03,2,SUBPROGRAMA FOMENTO AL AUTOEMPLEO Y AL EMPRENDIMIENTO,2258000,2055025.5
3,03,3,ALIMENTARIO,1500478.83,1500478.83
3,03,4,IMPULSO PRODUCTIVO FAMILIAR,1000000,1000000
3,03,5,ELECTRIFICACION,5408243.73,3123906.75
3,03,6,ENERGIA ALTERNA,7673637.9,7673637.9
3,03,7,SUMINISTRO DE DIESEL,7698158,7698158
3,03,8,PROGRAMA ESTATAL DE FINANCIAMIENTO A MUJERES EMPRENDEDORAS SUDCALIFORNIANAS,5430953,0
4,04,1,APRENDE,6606000,6286955
4,04,2,CRECE,10672880,10672880
4,04,3,SOLUCIONES,37196475,35312324
4,04,4,FORTALECIMIENTO DE ESPACIOS COMUNITARIOS,1000000,997224
4,04,5,MUJER INDIGENA EN DESARROLLO,21813000,21813000
5,05,1,DESAYUNOS ESCOLARES VERTIENTE CALIENTES,125090795.96,122490766
5,05,2,DESAYUNOS ESCOLARES VERTIENTE FRIOS,55253431.13,55253431.13
5,05,3,ASISTENCIA SOCIAL ALIMENTARIA A PERSONAS DE ATENCION PRIORITARIA CALIENTES,16676693.78,16676693.78
5,05,4,ASISTENCIA SOCIAL ALIMENTARIA A PERSONAS DE ATENCION PRIORITARIA FRIOS,25596473.99,25596473.9
5,05,5,ASISTENCIA SOCIAL ALIMENTARIA EN LOS PRIMEROS 1000 DIAS DE VIDA,2803605,2803605
5,05,6,COCINAS POPULARES Y UNIDADES DE SERVICIOS INTEGRALES,4367999.95,4367999.95
5,05,7,ORIENTACION ALIMENTARIA,NA,NA
5,05,8,BIENESTAR INTEGRAL NUTRICIONAL,NA,NA
